Category,Item Name,Price / Variants,Food Type,Has Image?,Item ID
Bakery & Biscuits,Britannia Gobbles Fruity Fun Slice Cake (25g),₹25,standard,Yes,1787517358017
Bakery & Biscuits,Britannia Little Hearts Classic Crunch (79g),₹30,standard,Yes,1787517448768
Bakery & Biscuits,Britannia Marie Gold Marie Biscuits (208g),₹38,standard,Yes,1787517005826
Bakery & Biscuits,Britannia NutriChoice Digestive (125g),₹25,standard,Yes,1787517226122
Bakery & Biscuits,Hide & Seek Choco Chip (100gm),₹29,veg,Yes,1787516600900
Bakery & Biscuits,Parle Krackjack Crackers Sweet & Salty (176.4 g),₹35,standard,Yes,1787517523857
Bakery & Biscuits,Parle-G Glucose Biscuit (250 g),₹30,standard,Yes,1787516882851
Bakery & Biscuits,Sunfeast Dark Fantasy (69 g ),₹39,standard,Yes,1787516523621
Bakery & Quick Bites,Bread Omelette,₹60,non-veg,No,1787655133534
Bakery & Quick Bites,Burger,₹100,standard,No,1787655133535
Bakery & Quick Bites,Chicken Puff,₹40,non-veg,No,1787655133532
Bakery & Quick Bites,Chicken Roll,₹100,non-veg,No,1787655133536
Bakery & Quick Bites,Dilkush,₹25,veg,No,1787655133540
Bakery & Quick Bites,Dilpasand,₹25,veg,No,1787655133539
Bakery & Quick Bites,Egg Puff,₹35,non-veg,No,1787655133531
Bakery & Quick Bites,Pastry,₹45,veg,No,1787655133537
Bakery & Quick Bites,Plum Cake,₹60,veg,No,1787655133538
Bakery & Quick Bites,Samosa,₹25,veg,No,1787655133533
Bakery & Quick Bites,Veg Puff,₹25,veg,No,1787655133530
Biryani,Chicken Biryani,Half: ₹140 | Full: ₹220,standard,No,1787655133528
Biryani,Mutton Biryani,Half: ₹200 | Full: ₹320,standard,No,1787655133529
Burrito Bowl,Hariyali Bowl,Paneer: ₹159 | Chicken: ₹179,standard,No,1787655133435
Burrito Bowl,Mexican Bowl,Paneer: ₹179 | Chicken: ₹199,standard,No,1787655133437
Burrito Bowl,Spicy Bowl,Paneer: ₹169 | Chicken: ₹189,standard,No,1787655133436
Chinese Fried Rice,Chicken Fried Rice (Chinese),Mini: ₹90 | Half: ₹130 | Full: ₹180,standard,No,1787655133524
Chinese Fried Rice,Hakka Chicken Fried Rice,Mini: ₹100 | Half: ₹160 | Full: ₹210,standard,No,1787655133525
Chinese Fried Rice,Hakka Veg Fried Rice,Mini: ₹80 | Half: ₹140 | Full: ₹190,standard,No,1787655133523
Chinese Fried Rice,Veg Fried Rice (Chinese),Mini: ₹70 | Half: ₹110 | Full: ₹160,standard,No,1787655133522
Chinese Noodles,Chicken Soft Noodles,Mini: ₹90 | Half: ₹130 | Full: ₹180,standard,No,1787655133520
Chinese Noodles,Hakka Chicken Noodles,Mini: ₹100 | Half: ₹160 | Full: ₹210,standard,No,1787655133521
Chinese Noodles,Hakka Veg Noodles,Mini: ₹80 | Half: ₹140 | Full: ₹190,standard,No,1787655133519
Chinese Noodles,Veg Soft Noodles,Mini: ₹70 | Half: ₹110 | Full: ₹160,standard,No,1787655133518
Chinese Starters,Chicken 65,Mini: ₹80 | Half: ₹150 | Full: ₹210,standard,No,1787655133514
Chinese Starters,Chicken Manchuria,Mini: ₹80 | Half: ₹150 | Full: ₹210,standard,No,1787655133516
Chinese Starters,Chicken Wings (Chinese),Half: ₹160 | Full: ₹220,standard,No,1787655133517
Chinese Starters,Chilli Chicken,Mini: ₹80 | Half: ₹150 | Full: ₹210,standard,No,1787655133515
Chinese Starters,Chilli Paneer,Mini: ₹70 | Half: ₹150 | Full: ₹210,standard,No,1787655133513
Chinese Starters,Paneer 65,Mini: ₹70 | Half: ₹150 | Full: ₹210,standard,No,1787655133511
Chinese Starters,Paneer Manchuria,Mini: ₹70 | Half: ₹150 | Full: ₹210,standard,No,1787655133512
Chinese Starters,Veg Manchuria,Mini: ₹60 | Half: ₹140 | Full: ₹200,standard,No,1787655133510
Chips & Namkeen,Kurkure,₹10,standard,Yes,1787001928403
Chips & Namkeen,Kurkure  - Chilli Chatka,₹20,standard,Yes,1787510270500
Chips & Namkeen,Kurkure Green Chutney ,₹20,standard,Yes,1787510851507
Chips & Namkeen,Kurkure Sizzlin' Hot,₹20,standard,Yes,1786742568287
Chips & Namkeen,Lay's Sizzling Hot Potato Chips,₹20,standard,Yes,1787510697714
Chips & Namkeen,Lays Classic Salted,₹20,standard,Yes,1787510602539
Chips & Namkeen,Maggi Noodles,₹15,standard,Yes,1786703742637
Chips & Namkeen,Pudina Treat Potato Chips,₹20,standard,Yes,1787510994609
Chips & Namkeen,Takatak Chatpata Masala,₹10,standard,Yes,1787510359796
Chips & Namkeen,Tedhe Medhe Kurkure,₹10,standard,Yes,1787510144645
Chocolates,Cadbury Dairy Milk (25 g),₹26,standard,Yes,1787517783831
Chocolates,Nestle KitKat (38.5 g),₹30,standard,Yes,1787517711423
Dairy Products,Amul Gold Full Cream Milk (1ltr),₹72,standard,Yes,1787515026348
Dairy Products,Amul Masti Cup Curd (200gm),₹25,standard,Yes,1787515296130
Dairy Products,Amul Masti Pouch Curd (380 g),₹35,standard,Yes,1787515166099
Dairy Products,Amul Moti Toned Milk (450ml),₹33,standard,Yes,1787515632777
Dairy Products,Amul Salted Butter (100gm),₹63,standard,Yes,1787515350466
Dairy Products,Amul Taaza Toned Milk (500 ml),₹30,veg,Yes,1787515105236
Dairy Products,Mother Dairy Full Cream Milk (500ml),₹36,standard,Yes,1787515233547
Drinks & Juices,7UP Nimbooz (350 ml),₹25,standard,Yes,1787512244104
Drinks & Juices,Amul Kool Badam Milkshake (200ml),₹40,standard,Yes,1787514353999
Drinks & Juices,Amul Masti Spiced Salted Buttermilk (200 ml ),₹15,standard,Yes,1787514204416
Drinks & Juices,Amul Sweet Lassi (200ml),₹20,standard,Yes,1787514279391
Drinks & Juices,Bisleri Packaged Water (1 ltr),₹20,standard,Yes,1787514482094
Drinks & Juices,Bisleri Soda Water (750ml),₹20,standard,Yes,1787514588366
Drinks & Juices,Bisleri Vedica Sparkling Water (300 ml),₹127,standard,Yes,1787514695493
Drinks & Juices,Coca-Cola,₹40,standard,Yes,1787511504510
Drinks & Juices,Coca-Cola ,₹45,standard,Yes,1787511556607
Drinks & Juices,Fanta Orange Soft Drink (750ml),₹40,standard,Yes,1787512122402
Drinks & Juices,Frooti Mango Drink (150ml),₹10,standard,Yes,1787513099509
Drinks & Juices,Frooti Mango Drink(600ml),₹35,standard,Yes,1787513008885
Drinks & Juices,Hell Energy Classic Energy Drink (250 ml),₹60,standard,Yes,1787513402523
Drinks & Juices,Limca Lemon 750 ml,₹40,standard,Yes,1787511692582
Drinks & Juices,Maaza Mango Drink 600 ml,₹40,standard,Yes,1787512656655
Drinks & Juices,Monster Energy Drink,₹125,standard,Yes,1787513938977
Drinks & Juices,Monster Energy Drink (350 ml ),₹125,standard,Yes,1787514007874
Drinks & Juices,Mountain Dew (750 ml),₹40,standard,Yes,1787511879546
Drinks & Juices,Pepsi Soft Drink(750ml),₹40,standard,Yes,1787512548423
Drinks & Juices,Predator Energy Drink (300ml),₹60,standard,Yes,1787514091936
Drinks & Juices,Real  Mixed Fruit Juice (1ltr),₹76,standard,Yes,1787512781102
Drinks & Juices,Red Bull Energy Drink (250 ml),₹125,standard,Yes,1787513299373
Drinks & Juices,Slice Mango Drink,₹40,standard,Yes,1787512926486
Drinks & Juices,Sprite Lime (750 ml),₹40,standard,Yes,1787511777437
Drinks & Juices,Sprite Sprite Lime can,₹45,standard,Yes,1787511987298
Drinks & Juices,Sting Energy Drink (250 ml),₹20,standard,Yes,1787513245940
Drinks & Juices,Thums Up,₹45,standard,Yes,1786703742641
Drinks & Juices,Thums Up Soft Drink(750ml),₹40,standard,Yes,1787511416695
Fries,Cheesy Fries,₹129,standard,No,1787655133423
Fries,Crispy Chicken Fries Bowl,₹199,standard,No,1787655133427
Fries,Loaded Chicken Fries Bowl,₹179,standard,No,1787655133426
Fries,Loaded Paneer Fries Bowl,₹179,standard,No,1787655133425
Fries,Peri Peri Fries,₹179,standard,No,1787655133424
Fries,Plain Fries,₹89,standard,No,1787655133422
Fusion Shawarmas,BBQ + Peri Peri,Paneer: ₹169 | Chicken: ₹169,standard,No,1787655133411
Fusion Shawarmas,BBQ + Tandoori,Paneer: ₹169 | Chicken: ₹169,standard,No,1787655133410
Fusion Shawarmas,Fiery + BBQ,Paneer: ₹179 | Chicken: ₹179,standard,No,1787655133412
Fusion Shawarmas,Frenzy + Peri Peri,Paneer: ₹179 | Chicken: ₹179,standard,No,1787655133413
Juices & Shakes,ABC Juice,₹80,veg,No,1787655133558
Juices & Shakes,Banana Milkshake,₹90,veg,No,1787655133548
Juices & Shakes,Beetroot Juice,₹60,veg,No,1787655133557
Juices & Shakes,Carrot Juice,₹60,veg,No,1787655133556
Juices & Shakes,Chocolate Milkshake,₹120,veg,No,1787655133550
Juices & Shakes,Chocolate Thick Shake,₹150,veg,No,1787655133555
Juices & Shakes,KitKat Milkshake,₹130,veg,No,1787655133552
Juices & Shakes,KitKat Thick Shake,₹150,veg,No,1787655133554
Juices & Shakes,Mango Juice,₹70,veg,No,1787655133545
Juices & Shakes,Mix Fruit Juice,₹70,veg,No,1787655133546
Juices & Shakes,Mosambi Juice,₹60,veg,No,1787655133541
Juices & Shakes,Orange Juice,₹60,veg,No,1787655133542
Juices & Shakes,Oreo Milkshake,₹110,veg,No,1787655133549
Juices & Shakes,Oreo Thick Shake,₹150,veg,No,1787655133553
Juices & Shakes,Pineapple Juice,₹60,veg,No,1787655133544
Juices & Shakes,Pomegranate Juice,₹90,veg,No,1787655133547
Juices & Shakes,Strawberry Milkshake,₹120,veg,No,1787655133551
Juices & Shakes,Watermelon Juice,₹50,veg,No,1787655133543
Let's Platters,Middle East Magic,₹239,standard,No,1787655133438
Let's Platters,Paneer-E-Magic,₹259,standard,No,1787655133439
Let's Platters,Power Eggs,₹279,standard,No,1787655133440
Let's Platters,Royal Chicken Feast,₹299,standard,No,1787655133441
